Date,R,GAP,INF,REER
2012M04,3.7525,1.18,1.99456,-0.06
2012M05,4.742272727,1,1.99,0.63
2012M06,4.177142857,-0.07,1.94697,0.52
2012M07,3.041363636,0.21,1.80288,1.62
2012M08,1.7585,-1.47,1.68028,2.51
2012M09,1.14,-0.07,1.58528,0.73
2012M10,0.797368421,-0.44,1.64688,1.99
2012M11,0.687727273,-2.08,1.72377,3.57
2012M12,0.574285714,-1.37,1.33676,2.74
2013M01,0.612727273,-1.45,1.1,5.15
2013M02,0.5475,-0.04,1.07,4.76
2013M03,0.54952381,-0.75,1.18,5.1
2013M04,0.525714286,-0.5,1.13,6.29
2013M05,-0.164545455,-0.78,1.15,4.91
2013M06,0.006,1.52,1.2,0.98
2013M07,0.303478261,0.52,1.45,0.93
2013M08,1.622631579,-2.44,1.45,-0.88
2013M09,1.362857143,2.2,1.64,-3.56
2013M10,1.236666667,0.77,1.61,-1.65
2013M11,1.500952381,0.88,1.74,-2.68
2013M12,1.842272727,0.02,1.74,-4.67
2014M01,2.504090909,2.89,2.06,-9.6
2014M02,5.0705,1.64,2.21,-8.5
2014M03,5.200952381,1.33,2.31,-7.67
2014M04,5.046190476,0.08,2.216285714,-1.73
2014M05,4.89,-1.64,2.21,0.57
2014M06,4.428571429,-0.2,2.19,0.09
2014M07,3.6,1.67,2.27,0.4
2014M08,3.282380952,-3.46,2.35,-0.12
2014M09,3.340909091,0.36,2.44,-0.35
2014M10,3.3845,-1.23,2.54,0.52
2014M11,3.292,-0.92,2.5,3.69
2014M12,3.50826087,-1.48,2.21,2.55
2015M01,3.248095238,-2.32,1.81,5.74
2015M02,2.9245,-2.73,1.69,3.05
2015M03,2.796818182,0.7,1.78,2.16
2015M04,3.050952381,0.64,1.91,0.98
2015M05,3.261578947,0.22,1.85,-0.41
2015M06,3.455,0.73,2,-2.63
2015M07,3.482272727,-0.37,2.05,-1.04
2015M08,3.64,2.06,2.04,-5.28
2015M09,3.882,1.72,2.25,-9.02
2015M10,3.819047619,-1.18,2.34,-5.44
2015M11,3.718571429,0.6,2.42,-0.14
2015M12,3.792173913,0.97,2.56,-0.81
2016M01,3.9145,-0.32,2.92,0.59
2016M02,4.057142857,0.58,2.96,2.35
2016M03,3.953913043,-0.97,2.89,3.81
2016M04,3.664285714,-1.26,2.78,5.09
2016M05,3.503333333,0.05,2.81,2.72
2016M06,3.342727273,-1.33,2.6,4.35
2016M07,3.116111111,-7.95,2.59,5.59
2016M08,2.991818182,-1.14,2.61,4.82
2016M09,2.839444444,-4.43,2.62,5.5
2016M10,2.766666667,-0.49,2.61,4.62
2016M11,2.881363636,-1.55,2.87,1.86
2016M12,3.281363636,-2.48,3.04,-0.65
2017M01,3.925,-1.99,3.19,-4.62
2017M02,5.3715,-1.21,3.21,-2.6
2017M03,5.976086957,-0.36,3.15,-1.35
2017M04,6.5125,2,3.27,0.14
2017M05,6.924761905,0.09,3.41,2.12
2017M06,6.96,0.19,3.32,2.77
2017M07,6.948571429,1.04,3.41,1.31
2017M08,6.975,3.49,3.37,2.24
2017M09,6.994736842,4.77,3.35,3.83
2017M10,6.959545455,4.87,3.52,2.34
2017M11,7.052272727,4.95,3.65,-0.63
2017M12,7.511904762,7.93,4.3,0.99
2018M01,7.75,5.27,4.24,2.56
2018M02,7.75,3.89,4.26,2.82
2018M03,7.75,3.33,4.24,2.29
2018M04,7.8625,3.78,4.62,1.29
2018M05,9.318181818,2.16,5.15,-1.72
2018M06,12.315,-0.74,5.47,-2.02
2018M07,12.75045455,3.18,6.07,-2.29
2018M08,13.29722222,1.01,7.96,-12.6
2018M09,16.8775,-1.58,9.46,-15.04
2018M10,19.00363636,-4.26,12.03,-6.67
2018M11,19,-4.76,12.38,-0.06
2018M12,19.00380952,-6.28,11.46,1.48
2019M01,19.00363636,-5.39,10.91,1.85
2019M02,19,-4.02,10.47,4.26
2019M03,19.19380952,-1.81,10.24,2.85
